"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HWYNN001","agoda+priceline | booking_via_agoda | tripcom",3,-462.328141553734,23.3953615471854,0.00276078607968709,5.23286882355702e-12,1.57569206908693,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda | booking_via_agoda | priceline+tripcom",3,-462.55983247826,23.1636706226594,0.0021898313377417,4.79252156437049e-12,1.55166984224596,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+booking_via_agoda+priceline | tripcom",2,-471.028735729305,14.6947673716143,4.59634603243359e-07,1.57025069317795e-11,1.64874485631661,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+booking_via_agoda | priceline | tripcom",3,-472.407666741392,13.3158363595268,1.1575788608442e-07,7.7383531015065e-12,1.7449578493093,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+booking_via_agoda | priceline+tripcom",2,-474.546345215672,11.1771578852471,1.36374863014873e-08,1.65954962044902e-11,1.69267146874449,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda | booking_via_agoda+priceline+tripcom",2,-480.506881624331,5.21662147658816,3.51646464967537e-11,1.39109751950173e-11,1.60264611126312,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda | booking_via_agoda+tripcom | priceline",3,-481.669246375952,4.05425672496671,1.09975933817726e-11,6.78603302041832e-12,1.70938315458654,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+priceline | booking_via_agoda+tripcom",2,-483.563815645551,2.15968745536776,1.65385213766343e-12,1.60778948090319e-11,1.68164777722524,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+booking_via_agoda+priceline+tripcom",1,-485.723503100919,0,1.90790319127596e-13,0,NA,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","agoda+booking_via_agoda+tripcom | priceline",2,-486.846963582629,-1.12346048170986,6.20359799000243e-14,1.5837990682623e-11,2.00072767529942,0.5,0,"uniform","2024","all_sources",NA,"round",4,492
"HWYNN001","booking_via_agoda+priceline | tripcom",2,-389.385964415994,20.7828110093263,0.798912216532146,1.6795605504728e-11,1.71446883969793,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,422
"HWYNN001","booking_via_agoda | priceline | tripcom",3,-390.884906038821,19.2838693864992,0.17845017850346,8.6661170608727e-12,1.79629559329526,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,422
"HWYNN001","booking_via_agoda | priceline+tripcom",2,-392.949603070838,17.2191723544827,0.0226376040197611,1.72230185149667e-11,1.7624838582283,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,422
"HWYNN001","booking_via_agoda+priceline+tripcom",1,-410.16877542532,0,7.52729475286922e-10,0,NA,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,422
"HWYNN001","booking_via_agoda+tripcom | priceline",2,-411.535515475399,-1.36674005007882,1.91898358799538e-10,1.52251667634901e-11,2.04789881809021,0.5,0,"uniform","2024","leave_out_agoda","agoda","ceiling",3,422
"HWYNN001","booking_via_agoda+priceline | tripcom",2,-381.944459261682,32.590968654984,0.81852117095682,1.43728444981334e-11,1.60149681255098,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,422
"HWYNN001","booking_via_agoda | priceline | tripcom",3,-383.468616120395,31.0668117962712,0.178277692223242,7.00544502408743e-12,1.71076755276046,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,422
"HWYNN001","booking_via_agoda | priceline+tripcom",2,-387.488452520772,27.0469753958945,0.0032011368199205,1.60074843883388e-11,1.66448776536254,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,422
"HWYNN001","booking_via_agoda+priceline+tripcom",1,-414.535427916666,0,5.74053104714544e-15,0,NA,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,422
"HWYNN001","booking_via_agoda+tripcom | priceline",2,-415.758059110179,-1.22263119351317,1.69032451204489e-15,1.5629633044341e-11,2.01838494007229,0.5,0,"uniform","2024","leave_out_agoda","agoda","floor",3,422
"HWYNN001","booking_via_agoda+priceline | tripcom",2,-389.10858024935,21.2965215923995,0.800507469960498,1.6726462240454e-11,1.7091068181063,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,422
"HWYNN001","booking_via_agoda | priceline | tripcom",3,-390.608558021322,19.7965438204279,0.178621330328177,8.59559373416558e-12,1.7922914670146,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,422
"HWYNN001","booking_via_agoda | priceline+tripcom",2,-392.755455936123,17.6496459056262,0.0208711991442825,1.72038000805609e-11,1.75779189074392,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,422
"HWYNN001","booking_via_agoda+priceline+tripcom",1,-410.405101841749,0,4.51235830481258e-10,0,NA,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,422
"HWYNN001","booking_via_agoda+tripcom | priceline",2,-411.765319182042,-1.36021734029242,1.1578937041002e-10,1.52485721239571e-11,2.04643480092348,0.5,0,"uniform","2024","leave_out_agoda","agoda","round",3,422
