"hotel_id","platform","month","n_reviews","mean_score","sd_score","median_score","min_score","max_score","year","month_number","has_reviews"
"HWYNN001","tripcom",2025-02-01,20,9.435,1.05644637694888,10,6,10,2025,2,TRUE
"HWYNN001","tripcom",2025-03-01,7,9.77142857142857,0.319970236711092,10,9.2,10,2025,3,TRUE
"HWYNN001","tripcom",2025-04-01,9,9.55555555555556,0.583333333333333,10,8.5,10,2025,4,TRUE
"HWYNN001","tripcom",2025-05-01,9,9.66666666666667,1,10,7,10,2025,5,TRUE
"HWYNN001","tripcom",2025-06-01,12,9.45833333333333,1.23322071557906,10,6,10,2025,6,TRUE
"HWYNN001","tripcom",2025-07-01,22,9.20454545454546,1.62318830076497,10,4,10,2025,7,TRUE
"HWYNN001","tripcom",2025-08-01,24,8.65416666666667,2.25754371456865,10,2,10,2025,8,TRUE
"HWYNN001","tripcom",2025-09-01,9,9.74444444444444,0.500277700660121,10,8.5,10,2025,9,TRUE
"HWYNN001","tripcom",2025-10-01,10,9.54,1.07827021968831,10,6.7,10,2025,10,TRUE
"HWYNN001","tripcom",2025-11-01,6,9.11666666666667,1.57533065312228,9.85,6,10,2025,11,TRUE
"HWYNN001","tripcom",2025-12-01,22,9.25454545454545,1.25156179488147,10,5,10,2025,12,TRUE
