"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HVEGAS001","agoda | priceline+tripcom",2,-366.637319782733,16.2977078433051,0.470320861777054,1.68199428200029e-11,1.70969224294921,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,383
"HVEGAS001","agoda+priceline | tripcom",2,-366.941473513059,15.9935541129792,0.346978013437209,1.66766841558496e-11,1.69937001090441,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,383
"HVEGAS001","agoda | priceline | tripcom",3,-367.582883580415,15.3521440456225,0.182701075255943,7.18736332580753e-12,1.63098760254704,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,383
"HVEGAS001","agoda+priceline+tripcom",1,-382.935027626038,0,3.92997383492089e-08,0,NA,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,383
"HVEGAS001","agoda+tripcom | priceline",2,-384.280912840332,-1.34588521429436,1.02300825238423e-08,1.36510810454213e-11,1.70588633508779,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","ceiling",3,383
"HVEGAS001","agoda+priceline | tripcom",2,-369.986656830774,6.06212129667296,0.534810715567414,1.21607638663241e-11,1.38283683229163,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","floor",3,383
"HVEGAS001","agoda | priceline+tripcom",2,-370.610500025486,5.43827810196041,0.286594890399948,1.19217003873544e-11,1.39092710426252,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","floor",3,383
"HVEGAS001","agoda | priceline | tripcom",3,-371.092470505556,4.95630762189069,0.17699105716981,1.64551432645068e-12,1.40241446581831,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","floor",3,383
"HVEGAS001","agoda+priceline+tripcom",1,-376.048778127447,0,0.00124581705649472,0,NA,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","floor",3,383
"HVEGAS001","agoda+tripcom | priceline",2,-377.297134228437,-1.24835610099063,0.000357519806334576,8.00822847575820e-11,1.51212166200471,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","floor",3,383
